turn number,turn,node number,decition time,move,
0,white,9627,0.00174707453697919846,White pawn from E2 to E3,
1,black,13708,0.00248876772820949554,Black pawn from G7 to G5,
2,white,31185,0.00609490647912025452,White knight from G1 to F3,
3,black,18075,0.00361403450369834900,Black pawn from F7 to F6,
4,white,40778,0.00885205809026956558,White pawn from H2 to H4,
5,black,86434,0.01899783639237284660,Black bishop from F8 to H6,
6,white,1025964,0.24308742536231875420,White pawn from G2 to G4,
7,black,339847,0.08360580680891871452,Black pawn from C7 to C6,
8,white,1439607,0.35658388445153832436,White bishop from F1 to G2,
9,black,390349,0.09899605298414826393,Black pawn from E7 to E5,
10,white,30063982,7.89146338915452361107,White pawn from H4 to H5,
11,black,133665,0.03578390367329120636,Black pawn from D7 to D6,
12,white,2501844,0.65117722377181053162,White knight from F3 to H2,
13,black,152831,0.03933692863211035728,Black king from E8 to F7,
14,white,339370,0.08767620380967855453,White queen from D1 to E2,
15,black,299693,0.07583834882825613022,Black queen from D8 to A5,
16,white,681909,0.18129436299204826355,White queen from E2 to F3,
17,black,714273,0.18269961699843406677,Black knight from B8 to D7,
18,white,1991778,0.50767714716494083405,White rook from H1 to G1,
19,black,709287,0.18401119578629732132,Black rook from A8 to B8,
20,white,1148990,0.29451942490413784981,White king from E1 to D1,
21,black,921789,0.23993608914315700531,Black king from F7 to E7,
22,white,2089110,0.51528808986768126488,White king from D1 to E2,
23,black,3294650,0.84340925561264157295,Black queen from A5 to A6,
24,white,56795,0.01445557503029704094,White king from E2 to D1,
25,black,639814,0.17315505305305123329,Black king from E7 to E8,
26,white,9324917,2.41110133193433284760,White bishop from G2 to F1,
27,black,489526,0.12834283383563160896,Black queen from A6 to B6,
28,white,2455931,0.61552729457616806030,White bishop from F1 to D3,
29,black,919221,0.23627497116103768349,Black knight from D7 to C5,
30,white,27135966,7.20055810594931244850,White bishop from D3 to E2,
31,black,1992142,0.54184123408049345016,Black knight from C5 to D7,
32,white,2298641,0.57751699816435575485,White queen from F3 to F5,
33,black,4410256,1.14969191933050751686,Black pawn from A7 to A5,
34,white,5687465,1.44451760826632380486,White queen from F5 to E6,
35,black,87491,0.02319777989760041237,Black king from E8 to D8,
36,white,807565,0.20290189329534769058,White queen from E6 to D6,
37,black,1483091,0.38737924722954630852,Black pawn from C6 to C5,
38,white,503187,0.12647045636549592018,White queen from D6 to D5,
39,black,1604455,0.43339731823652982712,Black bishop from H6 to G7,
40,white,849605,0.21183585934340953827,White queen from D5 to H1,
41,black,481414,0.12407188396900892258,Black knight from G8 to E7,
42,white,207482,0.04986797599121928215,White pawn from B2 to B3,
43,black,439864,0.11115365102887153625,Black bishop from G7 to H6,
44,white,821670,0.20773651916533708572,White pawn from C2 to C4,
45,black,461951,0.11866131518036127090,Black rook from H8 to F8,
46,white,2600860,0.64739933470264077187,White queen from H1 to G2,
47,black,658548,0.16363826068118214607,Black king from D8 to E8,
48,white,1816445,0.43621710268780589104,White queen from G2 to H3,
49,black,214867,0.05518932640552520752,Black queen from B6 to A6,
50,white,449360,0.11303699854761362076,White knight from B1 to C3,
