turn number,turn,node number,decition time,move,
0,white,400,0.00008303998038172722,White pawn from E2 to E3,
1,black,668,0.00015408964827656746,Black pawn from G7 to G5,
2,white,729,0.00016124173998832703,White knight from G1 to F3,
3,black,1050,0.00024655461311340332,Black pawn from F7 to F6,
4,white,658,0.00015631318092346191,White pawn from H2 to H4,
5,black,4008,0.00095507083460688591,Black bishop from F8 to H6,
6,white,7876,0.00185461295768618584,White pawn from G2 to G4,
7,black,42049,0.01028121681883931160,Black pawn from C7 to C6,
8,white,13058,0.00321697490289807320,White bishop from F1 to G2,
9,black,32395,0.00838585337623953819,Black pawn from E7 to E5,
10,white,48890,0.01299996767193078995,White pawn from H4 to H5,
11,black,2726,0.00072929915040731430,Black pawn from D7 to D6,
12,white,34504,0.00955343525856733322,White knight from F3 to H2,
13,black,1523,0.00040182191878557205,Black king from E8 to F7,
14,white,4384,0.00119349500164389610,White queen from D1 to E2,
15,black,4258,0.00101970462128520012,Black queen from D8 to A5,
16,white,8441,0.00233131600543856621,White queen from E2 to F3,
17,black,64198,0.01721678208559751511,Black knight from B8 to D7,
18,white,8419,0.00224057910963892937,White rook from H1 to G1,
19,black,67470,0.01788866054266691208,Black rook from A8 to B8,
20,white,12453,0.00327060976997017860,White king from E1 to D1,
21,black,13486,0.00340989558026194572,Black king from F7 to E7,
22,white,19125,0.00506495358422398567,White king from D1 to E2,
23,black,17260,0.00436089560389518738,Black queen from A5 to A6,
24,white,195,0.00006988877430558205,White king from E2 to D1,
25,black,10654,0.00267926789820194244,Black king from E7 to E8,
26,white,104548,0.02856799308210611343,White bishop from G2 to F1,
27,black,12096,0.00301597919315099716,Black queen from A6 to B6,
28,white,29641,0.00765076279640197754,White bishop from F1 to D3,
29,black,420099,0.10838232282549142838,Black knight from D7 to C5,
30,white,134294,0.03707813145592808723,White bishop from D3 to E2,
31,black,71975,0.01913945470005273819,Black knight from C5 to D7,
32,white,31197,0.00802180822938680649,White queen from F3 to F5,
33,black,132912,0.03294157795608043671,Black pawn from A7 to A5,
34,white,59494,0.01558770705014467239,White knight from B1 to C3,
35,black,91520,0.02304467884823679924,Black knight from D7 to C5,
36,white,1646139,0.43894473044201731682,White queen from F5 to F3,
37,black,173658,0.04653890198096632957,Black pawn from A5 to A4,
38,white,533394,0.14625464472919702530,White king from D1 to E1,
39,black,1141227,0.30169456591829657555,Black pawn from D6 to D5,
40,white,3546003,0.92385983793064951897,White rook from G1 to G2,
41,black,5282315,1.38746910262852907181,Black king from E8 to E7,
42,white,373607,0.10021557286381721497,White knight from H2 to F1,
43,black,255357,0.06828233692795038223,Black queen from B6 to A5,
44,white,305546,0.07804034510627388954,White knight from F1 to G3,
45,black,387495,0.10004222905263304710,Black king from E7 to D8,
46,white,85821,0.02273171162232756615,White pawn from D2 to D3,
47,black,10008,0.00290466565638780594,Black pawn from B7 to B6,
48,white,148482,0.03810901241376996040,White pawn from E3 to E4,
49,black,9620253,2.46281092381104826927,Black bishop from C8 to B7,
50,white,484122,0.12983418861404061317,White bishop from C1 to D2,
51,black,923924,0.23911191336810588837,Black pawn from D5 to E4,
52,white,361218,0.10063275462016463280,White pawn from D3 to E4,
53,black,52798,0.01463281875476241112,Black knight from C5 to D7,
54,white,3562,0.00097508402541279793,White king from E1 to D1,
55,black,11313,0.00314308796077966690,Black queen from A5 to A8,
56,white,2379,0.00069970637559890747,White queen from F3 to D3,
57,black,6067,0.00172367272898554802,Black rook from B8 to C8,
58,white,2464,0.00073211221024394035,White rook from G2 to G1,
59,black,6821,0.00190287921577692032,Black pawn from C6 to C5,
60,white,60566,0.01547112967818975449,White knight from C3 to B5,
61,black,11933,0.00300186127424240112,Black rook from C8 to C6,
62,white,5042,0.00138583546504378319,White king from D1 to C1,
63,black,3537,0.00092336442321538925,Black king from D8 to C8,
64,white,6235,0.00164426444098353386,White rook from G1 to E1,
65,black,3345,0.00090600643306970596,Black knight from D7 to B8,
66,white,4576,0.00122070359066128731,White pawn from B2 to B4,
67,black,14942,0.00407071085646748543,Black bishop from B7 to A6,
68,white,236261,0.06068075355142354965,White knight from B5 to D6,
69,black,99672,0.02486358908936381340,Black king from C8 to C7,
