turn number,turn,node number,decition time,move,
0,white,400,0.00008414546027779579,White pawn from E2 to E3,
1,black,668,0.00015296321362257004,Black pawn from G7 to G5,
2,white,729,0.00015972275286912918,White knight from G1 to F3,
3,black,1050,0.00024458719417452812,Black pawn from F7 to F6,
4,white,658,0.00015821587294340134,White pawn from H2 to H4,
5,black,4008,0.00092822313308715820,Black bishop from F8 to H6,
6,white,7876,0.00185720995068550110,White pawn from G2 to G4,
7,black,42049,0.01021191617473959923,Black pawn from C7 to C6,
8,white,13058,0.00315359793603420258,White bishop from F1 to G2,
9,black,32395,0.00850339047610759735,Black pawn from E7 to E5,
10,white,48890,0.01291884668171405792,White pawn from H4 to H5,
11,black,2726,0.00073456391692161560,Black pawn from D7 to D6,
12,white,34504,0.00953254383057355881,White knight from F3 to H2,
13,black,1523,0.00039513222873210907,Black king from E8 to F7,
14,white,4384,0.00119268102571368217,White queen from D1 to E2,
15,black,4258,0.00101471925154328346,Black queen from D8 to A5,
16,white,8441,0.00232407590374350548,White queen from E2 to F3,
17,black,64198,0.01722517609596252441,Black knight from B8 to D7,
18,white,8419,0.00224359193816781044,White rook from H1 to G1,
19,black,67470,0.01783352019265294075,Black rook from A8 to B8,
20,white,12453,0.00329293031245470047,White king from E1 to D1,
21,black,13486,0.00341396639123558998,Black king from F7 to E7,
22,white,19125,0.00506151653826236725,White king from D1 to E2,
23,black,17260,0.00432969303801655769,Black queen from A5 to A6,
24,white,195,0.00006910646334290504,White king from E2 to D1,
25,black,10654,0.00273589976131916046,Black king from E7 to E8,
26,white,104548,0.02855061739683151245,White bishop from G2 to F1,
27,black,12096,0.00303982943296432495,Black queen from A6 to B6,
28,white,29641,0.00756294280290603638,White bishop from F1 to D3,
29,black,420099,0.10853767627850174904,Black knight from D7 to C5,
30,white,134294,0.03706489922478795052,White bishop from D3 to E2,
31,black,71975,0.01916383439674973488,Black knight from C5 to D7,
32,white,31197,0.00801870552822947502,White queen from F3 to F5,
33,black,132912,0.03295777225866913795,Black pawn from A7 to A5,
34,white,59494,0.01560760429129004478,White knight from B1 to C3,
35,black,91520,0.02306176861748099327,Black knight from D7 to C5,
36,white,1646139,0.43924287939444184303,White queen from F5 to F3,
37,black,173658,0.04665791476145386696,Black pawn from A5 to A4,
38,white,533394,0.14610746642574667931,White king from D1 to E1,
39,black,1141227,0.30164904147386550903,Black pawn from D6 to D5,
40,white,3546003,0.92400493519380688667,White rook from G1 to G2,
41,black,5282315,1.38752736849710345268,Black king from E8 to E7,
42,white,373607,0.10018052998930215836,White knight from H2 to F1,
43,black,255357,0.06826010392978787422,Black queen from B6 to A5,
44,white,305546,0.07804088247939944267,White knight from F1 to G3,
45,black,387495,0.09994796710088849068,Black king from E7 to D8,
46,white,85821,0.02265433873981237411,White pawn from D2 to D3,
47,black,10008,0.00290732551366090775,Black pawn from B7 to B6,
48,white,148482,0.03808251302689313889,White pawn from E3 to E4,
49,black,9620253,2.46275685587897896767,Black bishop from C8 to B7,
50,white,484122,0.12991709169000387192,White bishop from C1 to D2,
51,black,923924,0.23912530997768044472,Black pawn from D5 to E4,
52,white,361218,0.10051279887557029724,White pawn from D3 to E4,
53,black,52798,0.01459745224565267563,Black knight from C5 to D7,
54,white,3562,0.00097704213112592697,White king from E1 to D1,
55,black,11313,0.00315262377262115479,Black queen from A5 to A8,
56,white,2379,0.00070207007229328156,White queen from F3 to D3,
57,black,6067,0.00172350509092211723,Black rook from B8 to C8,
58,white,2464,0.00072787282988429070,White rook from G2 to G1,
59,black,6821,0.00191749632358551025,Black pawn from C6 to C5,
60,white,60566,0.01551289111375808716,White knight from C3 to B5,
61,black,11933,0.00300539936870336533,Black rook from C8 to C6,
62,white,5042,0.00139322411268949509,White king from D1 to C1,
63,black,3537,0.00092384079471230507,Black king from D8 to C8,
64,white,6235,0.00164438178762793541,White rook from G1 to E1,
65,black,3345,0.00090675754472613335,Black knight from D7 to B8,
66,white,4576,0.00124807376414537430,White pawn from B2 to B4,
67,black,14942,0.00406937161460518837,Black bishop from B7 to A6,
