turn number,turn,node number,decition time,move,
0,white,400,0.00008393870666623116,White pawn from E2 to E3,
1,black,668,0.00015388941392302513,Black pawn from G7 to G5,
2,white,729,0.00016012322157621384,White knight from G1 to F3,
3,black,1050,0.00024266121909022331,Black pawn from F7 to F6,
4,white,658,0.00015785172581672668,White pawn from H2 to H4,
5,black,4008,0.00092221656814217567,Black bishop from F8 to H6,
6,white,7876,0.00194407533854246140,White pawn from G2 to G4,
7,black,42049,0.01022535515949130058,Black pawn from C7 to C6,
8,white,13058,0.00316560547798871994,White bishop from F1 to G2,
9,black,32395,0.00840193592011928558,Black pawn from E7 to E5,
10,white,48890,0.01293896837159991264,White pawn from H4 to H5,
11,black,2726,0.00073066353797912598,Black pawn from D7 to D6,
12,white,34504,0.00958469416946172714,White knight from F3 to H2,
13,black,1523,0.00039251940324902534,Black king from E8 to F7,
14,white,4384,0.00119360303506255150,White queen from D1 to E2,
15,black,4258,0.00101628340780735016,Black queen from D8 to A5,
16,white,8441,0.00233369134366512299,White queen from E2 to F3,
17,black,64198,0.01719503244385123253,Black knight from B8 to D7,
18,white,8419,0.00224251113831996918,White rook from H1 to G1,
19,black,67470,0.01785359997302293777,Black rook from A8 to B8,
20,white,12453,0.00327726732939481735,White king from E1 to D1,
21,black,13486,0.00340722873806953430,Black king from F7 to E7,
22,white,19125,0.00511217629536986351,White king from D1 to E2,
23,black,17260,0.00433887727558612823,Black queen from A5 to A6,
24,white,195,0.00006762007251381874,White king from E2 to D1,
25,black,10654,0.00269854394719004631,Black king from E7 to E8,
26,white,104548,0.02855908358469605446,White bishop from G2 to F1,
27,black,12096,0.00300566200166940689,Black queen from A6 to B6,
28,white,29641,0.00755996908992528915,White bishop from F1 to D3,
29,black,420099,0.10855292901396751404,Black knight from D7 to C5,
30,white,134294,0.03709571436047554016,White bishop from D3 to E2,
31,black,71975,0.01917840680107474327,Black knight from C5 to D7,
32,white,31197,0.00801304494962096214,White queen from F3 to F5,
33,black,132912,0.03295894805341959000,Black pawn from A7 to A5,
34,white,59494,0.01559940120205283165,White knight from B1 to C3,
35,black,91520,0.02307425485923886299,Black knight from D7 to C5,
36,white,1646139,0.43940341565757989883,White queen from F5 to F3,
37,black,173658,0.04656687099486589432,Black pawn from A5 to A4,
38,white,533394,0.14617131929844617844,White king from D1 to E1,
39,black,1141227,0.30191208887845277786,Black pawn from D6 to D5,
40,white,3546003,0.92427888745442032814,White rook from G1 to G2,
41,black,5282315,1.38783074216917157173,Black king from E8 to E7,
42,white,373607,0.10039490601047873497,White knight from H2 to F1,
43,black,255357,0.06826047552749514580,Black queen from B6 to A5,
44,white,305546,0.07805454591289162636,White knight from F1 to G3,
45,black,387495,0.09998050983995199203,Black king from E7 to D8,
46,white,85821,0.02268264023587107658,White pawn from D2 to D3,
47,black,10008,0.00293993297964334488,Black pawn from B7 to B6,
48,white,148482,0.03809592686593532562,White pawn from E3 to E4,
49,black,9620253,2.46248399140313267708,Black bishop from C8 to B7,
50,white,484122,0.12980808923020958900,White bishop from C1 to D2,
51,black,923924,0.23954537464305758476,Black pawn from D5 to E4,
52,white,361218,0.10050145210698246956,White pawn from D3 to E4,
53,black,52798,0.01463618874549865723,Black knight from C5 to D7,
54,white,3562,0.00097731919959187508,White king from E1 to D1,
55,black,11313,0.00314375385642051697,Black queen from A5 to A8,
56,white,2379,0.00070617394521832466,White queen from F3 to D3,
57,black,6067,0.00171899050474166870,Black rook from B8 to C8,
58,white,2464,0.00070780469104647636,White rook from G2 to G1,
59,black,6821,0.00189606891945004463,Black pawn from C6 to C5,
60,white,60566,0.01549699250608682632,White knight from C3 to B5,
