turn number,turn,node number,decition time,move,
0,white,400,0.00010971864685416222,White pawn from E2 to E3,
1,black,668,0.00018117111176252365,Black pawn from G7 to G5,
2,white,729,0.00018596043810248375,White knight from G1 to F3,
3,black,1050,0.00027128309011459351,Black pawn from F7 to F6,
4,white,658,0.00015550060197710991,White pawn from H2 to H4,
5,black,4008,0.00093337893486022949,Black bishop from F8 to H6,
6,white,7876,0.00185710517689585686,White pawn from G2 to G4,
7,black,42049,0.01021105237305164337,Black pawn from C7 to C6,
8,white,13058,0.00319481920450925827,White bishop from F1 to G2,
9,black,32395,0.00838708551600575447,Black pawn from E7 to E5,
10,white,48890,0.01301929680630564690,White pawn from H4 to H5,
11,black,2726,0.00072898110374808311,Black pawn from D7 to D6,
12,white,34504,0.00961827673017978668,White knight from F3 to H2,
13,black,1523,0.00039536505937576294,Black king from E8 to F7,
14,white,4384,0.00119284773245453835,White queen from D1 to E2,
15,black,4258,0.00099868234246969223,Black queen from D8 to A5,
16,white,8441,0.00233361544087529182,White queen from E2 to F3,
17,black,64198,0.01714881323277950287,Black knight from B8 to D7,
18,white,8419,0.00224234536290168762,White rook from H1 to G1,
19,black,67470,0.01789148803800344467,Black rook from A8 to B8,
20,white,12453,0.00328036816790699959,White king from E1 to D1,
21,black,13486,0.00340823316946625710,Black king from F7 to E7,
22,white,19125,0.00506796222180128098,White king from D1 to E2,
23,black,17260,0.00436008814722299576,Black queen from A5 to A6,
24,white,195,0.00008035590872168541,White king from E2 to D1,
25,black,10654,0.00271719414740800858,Black king from E7 to E8,
26,white,104548,0.02851679315790534019,White bishop from G2 to F1,
27,black,12096,0.00302336644381284714,Black queen from A6 to B6,
28,white,29641,0.00760705629363656044,White bishop from F1 to D3,
29,black,420099,0.10849557630717754364,Black knight from D7 to C5,
30,white,134294,0.03708946285769343376,White bishop from D3 to E2,
31,black,71975,0.01914626499637961388,Black knight from C5 to D7,
32,white,31197,0.00802543479949235916,White queen from F3 to F5,
33,black,132912,0.03289787191897630692,Black pawn from A7 to A5,
34,white,59494,0.01562690222635865211,White knight from B1 to C3,
35,black,91520,0.02307374449446797371,Black knight from D7 to C5,
36,white,1646139,0.43907441524788737297,White queen from F5 to F3,
37,black,173658,0.04654675303027033806,Black pawn from A5 to A4,
38,white,533394,0.14611169463023543358,White king from D1 to E1,
39,black,1141227,0.30186300445348024368,Black pawn from D6 to D5,
40,white,3546003,0.92452122922986745834,White rook from G1 to G2,
41,black,5282315,1.38795357244089245796,Black king from E8 to E7,
42,white,373607,0.10017215088009834290,White knight from H2 to F1,
43,black,255357,0.06829903600737452507,Black queen from B6 to A5,
44,white,305546,0.07800242723897099495,White knight from F1 to G3,
45,black,387495,0.09997857175767421722,Black king from E7 to D8,
46,white,85821,0.02268899371847510338,White pawn from D2 to D3,
47,black,10008,0.00291000772267580032,Black pawn from B7 to B6,
48,white,148482,0.03811154467985033989,White pawn from E3 to E4,
49,black,9620253,2.46211692923679947853,Black bishop from C8 to B7,
50,white,484122,0.12985547492280602455,White bishop from C1 to D2,
51,black,923924,0.23918287130072712898,Black pawn from D5 to E4,
52,white,361218,0.10070248879492282867,White pawn from D3 to E4,
53,black,52798,0.01463100966066122055,Black knight from C5 to D7,
54,white,3562,0.00097577366977930069,White king from E1 to D1,
55,black,11313,0.00315379910171031952,Black queen from A5 to A8,
56,white,2379,0.00070233596488833427,White queen from F3 to D3,
57,black,6067,0.00172983948141336441,Black rook from B8 to C8,
58,white,2464,0.00072998320683836937,White rook from G2 to G1,
59,black,6821,0.00191124202683568001,Black pawn from C6 to C5,
60,white,60566,0.01546318223699927330,White knight from C3 to B5,
61,black,11933,0.00301415659487247467,Black rook from C8 to C6,
62,white,5042,0.00137035408988595009,White king from D1 to C1,
63,black,3537,0.00089695490896701813,Black king from D8 to C8,
64,white,6235,0.00161410123109817505,White rook from G1 to E1,
65,black,3345,0.00088277133181691170,Black knight from D7 to B8,
66,white,4576,0.00118409888818860054,White pawn from B2 to B4,
67,black,14942,0.00411029392853379250,Black bishop from B7 to A6,
68,white,236261,0.06068722344934940338,White knight from B5 to D6,
69,black,99672,0.02491431636735796928,Black king from C8 to C7,
70,white,902841,0.23662845604121685028,White queen from D3 to D5,
71,black,5910663,1.50984417414292693138,Black knight from B8 to D7,
72,white,18146277,4.50738536799326539040,White pawn from F2 to F3,
73,black,61302960,14.65101667074486613274,Black queen from A8 to F8,
74,white,328136986,77.46625496167689561844,White pawn from B4 to C5,
75,black,7190530,1.70936620188876986504,Black bishop from A6 to E2,
76,white,63236399,14.77223476115614175797,White rook from E1 to E2,
77,black,78798,0.02000048663467168808,Black rook from C6 to C5,
78,white,142029,0.03438019007444381714,White knight from D6 to B5,
79,black,2701,0.00071678124368190765,Black king from C7 to D8,
80,white,20635,0.00502381194382905960,White queen from D5 to A8,
81,black,1447,0.00040526129305362701,Black king from D8 to E7,
82,white,37128,0.00892730383202433586,White queen from A8 to A4,
83,black,4310,0.00115250004455447197,Black queen from F8 to E8,
84,white,9617,0.00268707517534494400,White pawn from A2 to A3,
85,black,6388,0.00172817474231123924,Black queen from E8 to F8,
86,white,3838,0.00101508572697639465,White rook from A1 to A2,
87,black,4337,0.00116952508687973022,Black queen from F8 to B8,
88,white,5548,0.00141055323183536530,White rook from A2 to A1,
89,black,5506,0.00144927203655242920,Black knight from D7 to F8,
90,white,4017,0.00102576380595564842,White rook from E2 to E1,
91,black,5386,0.00139914173632860184,Black queen from B8 to E8,
92,white,8742,0.00236879941076040268,White rook from A1 to B1,
93,black,6177,0.00177469896152615547,Black queen from E8 to C8,
94,white,7135,0.00204990012571215630,White king from C1 to D1,
95,black,6665,0.00187820196151733398,Black queen from C8 to B8,
96,white,7351,0.00187061447650194168,White pawn from C2 to C4,
97,black,7116,0.00184054533019661903,Black rook from C5 to C8,
98,white,9393,0.00241110939532518387,White queen from A4 to C2,
99,black,3175,0.00080603221431374550,Black bishop from H6 to G7,
100,white,5689,0.00140867661684751511,White queen from C2 to C3,
101,black,3263,0.00083184754475951195,Black queen from B8 to A8,
102,white,13214,0.00371031882241368294,White rook from B1 to A1,
103,black,4367,0.00120772514492273331,Black rook from C8 to D8,
104,white,4125,0.00113614927977323532,White king from D1 to C1,
105,black,4669,0.00125010684132575989,Black king from E7 to E8,
106,white,8094,0.00214927271008491516,White pawn from C4 to C5,
107,black,13874,0.00366682698950171471,Black pawn from B6 to C5,
108,white,10846,0.00290551315993070602,White queen from C3 to C5,
109,black,6654,0.00170773779973387718,Black knight from G8 to H6,
110,white,23768,0.00648884009569883347,White rook from A1 to A2,
111,black,16521,0.00422511901706457138,Black queen from A8 to B7,
112,white,28662,0.00737794395536184311,White rook from E1 to E2,
113,black,45348,0.01145292865112423897,Black queen from B7 to F7,
114,white,21529,0.00580335268750786781,White bishop from D2 to C3,
115,black,16564,0.00421470450237393379,Black queen from F7 to E6,
116,white,37069,0.00905737373977899551,White rook from E2 to F2,
117,black,29726,0.00763770192861557007,Black queen from E6 to D7,
118,white,32267,0.00820088619366288185,White queen from C5 to B6,
119,black,125602,0.02966561214998364449,Black rook from H8 to G8,
120,white,40712,0.01010044245049357414,White rook from F2 to F1,
121,black,103949,0.02493546996265649796,Black queen from D7 to D3,
122,white,123971,0.03030543122440576553,White rook from A2 to G2,
123,black,36824,0.00945434486493468285,Black knight from H6 to F7,
124,white,26537,0.00658556632697582245,White bishop from C3 to A5,
125,black,8550,0.00209897290915250778,Black pawn from H7 to H6,
126,white,7858,0.00191818503662943840,White rook from G2 to H2,
127,black,8874,0.00216028979048132896,Black knight from F8 to H7,
128,white,18117,0.00407956028357148170,White knight from B5 to C3,
129,black,19084,0.00419248174875974655,Black rook from D8 to D7,
130,white,6770,0.00162954628467559814,White bishop from A5 to B4,
131,black,6381,0.00157222524285316467,Black bishop from G7 to F8,
132,white,14944,0.00372811919078230858,White rook from H2 to A2,
133,black,5583,0.00148319127038121223,Black bishop from F8 to G7,
134,white,6372,0.00156464055180549622,White rook from A2 to G2,
