turn number,turn,node number,decition time,move,
0,white,229210,0.04172259662300348282,White pawn from E2 to E3,
1,black,619549,0.12167887343093752861,Black pawn from G7 to G5,
2,white,792492,0.16252681333571672440,White knight from G1 to F3,
3,black,1068027,0.23415174987167119980,Black pawn from F7 to F6,
4,white,633273,0.14077092427760362625,White knight from F3 to G5,
5,black,219498,0.05087741417810320854,Black bishop from F8 to H6,
6,white,411034,0.09610342746600508690,White queen from D1 to H5,
7,black,117992,0.02808013511821627617,Black king from E8 to F8,
8,white,2823264,0.67463248549029231071,White queen from H5 to F7,
9,black,0,0.00000124610960483551,Checkmate,
