turn number,turn,node number,decition time,move,
0,white,229210,0.04171626083552837372,White pawn from E2 to E3,
1,black,619549,0.12178863352164626122,Black pawn from G7 to G5,
2,white,792492,0.16276350757107138634,White knight from G1 to F3,
3,black,1068027,0.23408913845196366310,Black pawn from F7 to F6,
4,white,633273,0.14075182145461440086,White knight from F3 to G5,
5,black,219498,0.05081875342875719070,Black bishop from F8 to H6,
6,white,411034,0.09609592286869883537,White queen from D1 to H5,
7,black,117992,0.02804571716114878654,Black king from E8 to F8,
8,white,2823264,0.67491228925064206123,White queen from H5 to F7,
9,black,0,0.00000121025368571281,Checkmate,
