turn number,turn,node number,decition time,move,
0,white,400,0.00008336966857314110,White pawn from E2 to E3,
1,black,668,0.00015397509559988976,Black pawn from G7 to G5,
2,white,729,0.00016146292909979820,White knight from G1 to F3,
3,black,1050,0.00024479581043124199,Black pawn from F7 to F6,
4,white,658,0.00015709502622485161,White pawn from H2 to H4,
5,black,4008,0.00092030456289649010,Black bishop from F8 to H6,
6,white,7876,0.00189152127131819725,White pawn from G2 to G4,
7,black,42049,0.01032547606155276299,Black pawn from C7 to C6,
8,white,13058,0.00316000310704112053,White bishop from F1 to G2,
9,black,32395,0.00844300771132111549,Black pawn from E7 to E5,
10,white,48890,0.01289665931835770607,White pawn from H4 to H5,
11,black,2726,0.00073119066655635834,Black pawn from D7 to D6,
12,white,34504,0.00958166504278779030,White knight from F3 to H2,
13,black,1523,0.00039394665509462357,Black king from E8 to F7,
14,white,4384,0.00122398650273680687,White queen from D1 to E2,
15,black,4258,0.00102116772904992104,Black queen from D8 to A5,
16,white,8441,0.00232653319835662842,White queen from E2 to F3,
17,black,64198,0.01718399813398718834,Black knight from B8 to D7,
18,white,8419,0.00223734369501471519,White rook from H1 to G1,
19,black,67470,0.01787387114018201828,Black rook from A8 to B8,
20,white,12453,0.00327601842582225800,White king from E1 to D1,
21,black,13486,0.00340261403471231461,Black king from F7 to E7,
22,white,19125,0.00509409606456756592,White king from D1 to E2,
23,black,17260,0.00435162521898746490,Black queen from A5 to A6,
24,white,195,0.00006896071135997772,White king from E2 to D1,
25,black,10654,0.00272823357954621315,Black king from E7 to E8,
26,white,104548,0.02855119435116648674,White bishop from G2 to F1,
27,black,12096,0.00304081477224826813,Black queen from A6 to B6,
28,white,29641,0.00756030390039086342,White bishop from F1 to D3,
29,black,420099,0.10844569280743598938,Black knight from D7 to C5,
30,white,134294,0.03703752998262643814,White bishop from D3 to E2,
31,black,71975,0.01914372853934764862,Black knight from C5 to D7,
32,white,31197,0.00805585039779543877,White queen from F3 to F5,
33,black,132912,0.03286113869398832321,Black pawn from A7 to A5,
34,white,59494,0.01562275970354676247,White knight from B1 to C3,
35,black,91520,0.02301905909553170204,Black knight from D7 to C5,
36,white,1646139,0.43897025240585207939,White queen from F5 to F3,
37,black,173658,0.04654424171894788742,Black pawn from A5 to A4,
38,white,533394,0.14597844844684004784,White king from D1 to E1,
39,black,1141227,0.30152308149263262749,Black pawn from D6 to D5,
40,white,3546003,0.92380655882880091667,White rook from G1 to G2,
41,black,5282315,1.38654353097081184387,Black king from E8 to E7,
42,white,373607,0.10023879073560237885,White knight from H2 to F1,
43,black,255357,0.06823295960202813148,Black queen from B6 to A5,
44,white,305546,0.07794425450265407562,White knight from F1 to G3,
45,black,387495,0.09994546230882406235,Black king from E7 to D8,
46,white,85821,0.02266833325847983360,White pawn from D2 to D3,
47,black,10008,0.00293953437358140945,Black pawn from B7 to B6,
48,white,148482,0.03802436171099543571,White pawn from E3 to E4,
49,black,9620253,2.46282034460455179214,Black bishop from C8 to B7,
50,white,484122,0.12969057820737361908,White bishop from C1 to D2,
51,black,923924,0.23903268622234463692,Black pawn from D5 to E4,
52,white,361218,0.10042004752904176712,White pawn from D3 to E4,
53,black,52798,0.01461922237649559975,Black knight from C5 to D7,
54,white,3562,0.00097626866772770882,White king from E1 to D1,
55,black,11313,0.00313964579254388809,Black queen from A5 to A8,
56,white,2379,0.00070320302620530128,White queen from F3 to D3,
57,black,6067,0.00172753911465406418,Black rook from B8 to C8,
58,white,2464,0.00073083210736513138,White rook from G2 to G1,
59,black,6821,0.00190413510426878929,Black pawn from C6 to C5,
60,white,60566,0.01545632909983396530,White knight from C3 to B5,
61,black,11933,0.00301109580323100090,Black rook from C8 to C6,
62,white,5042,0.00136761739850044250,White king from D1 to C1,
63,black,3537,0.00088896648958325386,Black king from D8 to C8,
64,white,6235,0.00160980410873889923,White rook from G1 to E1,
65,black,3345,0.00088045187294483185,Black knight from D7 to B8,
66,white,4576,0.00119588198140263557,White pawn from B2 to B4,
67,black,14942,0.00401158863678574562,Black bishop from B7 to A6,
68,white,236261,0.06060898397117853165,White knight from B5 to D6,
69,black,99672,0.02491756249219179153,Black king from C8 to C7,
70,white,902841,0.23628567298874258995,White queen from D3 to D5,
71,black,5910663,1.50860481522977352142,Black knight from B8 to D7,
72,white,18146277,4.50503951543942093849,White pawn from F2 to F3,
73,black,61302960,14.64149372745305299759,Black queen from A8 to F8,
74,white,328136986,77.43004525126889348030,White pawn from B4 to C5,
75,black,7190530,1.70826749270781874657,Black bishop from A6 to E2,
76,white,63236399,14.76149094756692647934,White rook from E1 to E2,
77,black,78798,0.01994562428444623947,Black rook from C6 to C5,
78,white,142029,0.03455701237544417381,White knight from D6 to B5,
79,black,2701,0.00071166362613439560,Black king from C7 to D8,
80,white,20635,0.00507435388863086700,White queen from D5 to A8,
81,black,1447,0.00038590654730796814,Black king from D8 to E7,
82,white,37128,0.00893985340371727943,White queen from A8 to A4,
83,black,4310,0.00115452799946069717,Black queen from F8 to E8,
