turn number,turn,node number,decition time,move,
0,white,400,0.00008347071707248688,White pawn from E2 to E3,
1,black,668,0.00015512108802795410,Black pawn from G7 to G5,
2,white,729,0.00016119563952088356,White knight from G1 to F3,
3,black,1050,0.00024498300626873970,Black pawn from F7 to F6,
4,white,658,0.00015764031559228897,White pawn from H2 to H4,
5,black,4008,0.00095550343394279480,Black bishop from F8 to H6,
6,white,7876,0.00185140827670693398,White pawn from G2 to G4,
7,black,42049,0.01022971700876951218,Black pawn from C7 to C6,
8,white,13058,0.00315898982807993889,White bishop from F1 to G2,
9,black,32395,0.00840453337877988815,Black pawn from E7 to E5,
10,white,48890,0.01288876216858625412,White pawn from H4 to H5,
11,black,2726,0.00075780320912599564,Black pawn from D7 to D6,
12,white,34504,0.00954503240063786507,White knight from F3 to H2,
13,black,1523,0.00039550894871354103,Black king from E8 to F7,
14,white,4384,0.00118978368118405342,White queen from D1 to E2,
15,black,4258,0.00101088779047131538,Black queen from D8 to A5,
16,white,8441,0.00231817271560430527,White queen from E2 to F3,
17,black,64198,0.01718811970204114914,Black knight from B8 to D7,
18,white,8419,0.00223958678543567657,White rook from H1 to G1,
19,black,67470,0.01791821327060461044,Black rook from A8 to B8,
20,white,12453,0.00328040169551968575,White king from E1 to D1,
21,black,13486,0.00340395420789718628,Black king from F7 to E7,
22,white,19125,0.00505793699994683266,White king from D1 to E2,
23,black,17260,0.00433611869812011719,Black queen from A5 to A6,
24,white,195,0.00006880098953843117,White king from E2 to D1,
25,black,10654,0.00271451054140925407,Black king from E7 to E8,
26,white,104548,0.02852362347766757011,White bishop from G2 to F1,
27,black,12096,0.00300197768956422806,Black queen from A6 to B6,
28,white,29641,0.00760006764903664589,White bishop from F1 to D3,
29,black,420099,0.10849213134497404099,Black knight from D7 to C5,
30,white,134294,0.03699292102828621864,White bishop from D3 to E2,
31,black,71975,0.01917445939034223557,Black knight from C5 to D7,
32,white,31197,0.00801830412819981575,White queen from F3 to F5,
33,black,132912,0.03305404493585228920,Black pawn from A7 to A5,
34,white,59494,0.01571022160351276398,White knight from B1 to C3,
35,black,91520,0.02307398384436964989,Black knight from D7 to C5,
36,white,1646139,0.43888811999931931496,White queen from F5 to F3,
37,black,173658,0.04658190021291375160,Black pawn from A5 to A4,
38,white,533394,0.14607782242819666862,White king from D1 to E1,
39,black,1141227,0.30181718897074460983,Black pawn from D6 to D5,
40,white,3546003,0.92367181554436683655,White rook from G1 to G2,
41,black,5282315,1.38693926855921745300,Black king from E8 to E7,
42,white,373607,0.10014720167964696884,White knight from H2 to F1,
43,black,255357,0.06825179792940616608,Black queen from B6 to A5,
44,white,305546,0.07796323765069246292,White knight from F1 to G3,
45,black,387495,0.09996785642579197884,Black king from E7 to D8,
46,white,85821,0.02268167911097407341,White pawn from D2 to D3,
47,black,10008,0.00290522957220673561,Black pawn from B7 to B6,
48,white,148482,0.03806740418076515198,White pawn from E3 to E4,
49,black,9620253,2.46149055007845163345,Black bishop from C8 to B7,
50,white,484122,0.12983342492952942848,White bishop from C1 to D2,
51,black,923924,0.23901704698801040649,Black pawn from D5 to E4,
52,white,361218,0.10049140173941850662,White pawn from D3 to E4,
53,black,52798,0.01461725821718573570,Black knight from C5 to D7,
54,white,3562,0.00097405537962913513,White king from E1 to D1,
55,black,11313,0.00314721977338194847,Black queen from A5 to A8,
56,white,2379,0.00069935899227857590,White queen from F3 to D3,
57,black,6067,0.00172464689239859581,Black rook from B8 to C8,
58,white,2464,0.00073000090196728706,White rook from G2 to G1,
59,black,6821,0.00190797774121165276,Black pawn from C6 to C5,
60,white,60566,0.01544981217011809349,White knight from C3 to B5,
61,black,11933,0.00300095696002244949,Black rook from C8 to C6,
62,white,5042,0.00139167672023177147,White king from D1 to C1,
63,black,3537,0.00092006567865610123,Black king from D8 to C8,
64,white,6235,0.00164961209520697594,White rook from G1 to E1,
65,black,3345,0.00088319042697548866,Black knight from D7 to B8,
66,white,4576,0.00120137399062514305,White pawn from B2 to B4,
67,black,14942,0.00401421962305903435,Black bishop from B7 to A6,
68,white,236261,0.06065047951415181160,White knight from B5 to D6,
69,black,99672,0.02487804042175412178,Black king from C8 to C7,
70,white,902841,0.23645426100119948387,White queen from D3 to D5,
71,black,5910663,1.50857580173760652542,Black knight from B8 to D7,
72,white,18146277,4.50518342945724725723,White pawn from F2 to F3,
73,black,61302960,14.64053488522768020630,Black queen from A8 to F8,
74,white,328136986,77.43145337747409939766,White pawn from B4 to C5,
75,black,7190530,1.70753019535914063454,Black bishop from A6 to E2,
76,white,63236399,14.76114742318168282509,White rook from E1 to E2,
77,black,78798,0.01993880886584520340,Black rook from C6 to C5,
78,white,142029,0.03436871431767940521,White knight from D6 to B5,
79,black,2701,0.00071413256227970123,Black king from C7 to D8,
80,white,20635,0.00501033570617437363,White queen from D5 to A8,
81,black,1447,0.00040628621354699135,Black king from D8 to E7,
82,white,37128,0.00889811990782618523,White queen from A8 to A4,
83,black,4310,0.00115095963701605797,Black queen from F8 to E8,
84,white,9617,0.00269522704184055328,White pawn from A2 to A3,
85,black,6388,0.00172762153670191765,Black queen from E8 to F8,
86,white,3838,0.00101170549169182777,White rook from A1 to A2,
87,black,4337,0.00117038516327738762,Black queen from F8 to B8,
88,white,5548,0.00141698541119694710,White rook from A2 to A1,
89,black,5506,0.00144466338679194450,Black knight from D7 to F8,
90,white,4017,0.00102604646235704422,White rook from E2 to E1,
91,black,5386,0.00139665976166725159,Black queen from B8 to E8,
92,white,8742,0.00233935331925749779,White rook from A1 to B1,
93,black,6177,0.00177280977368354797,Black queen from E8 to C8,
94,white,7135,0.00204609287902712822,White king from C1 to D1,
95,black,6665,0.00184628134593367577,Black queen from C8 to B8,
96,white,7351,0.00183862168341875076,White pawn from C2 to C4,
97,black,7116,0.00184048945084214211,Black rook from C5 to C8,
98,white,9393,0.00238065887242555618,White queen from A4 to C2,
99,black,3175,0.00080916052684187889,Black bishop from H6 to G7,
100,white,5689,0.00141753908246755600,White queen from C2 to C3,
101,black,3263,0.00082749407738447189,Black queen from B8 to A8,
102,white,13214,0.00367891229689121246,White rook from B1 to A1,
103,black,4367,0.00117848394438624382,Black rook from C8 to D8,
104,white,4125,0.00113549269735813141,White king from D1 to C1,
105,black,4669,0.00123607972636818886,Black king from E7 to E8,
106,white,8094,0.00211073737591505051,White pawn from C4 to C5,
107,black,13874,0.00365167949348688126,Black pawn from B6 to C5,
108,white,10846,0.00289752846583724022,White queen from C3 to C5,
109,black,6654,0.00169930793344974518,Black knight from G8 to H6,
110,white,23768,0.00647764839231967926,White rook from A1 to A2,
111,black,16521,0.00421695271506905556,Black queen from A8 to B7,
112,white,28662,0.00738891959190368652,White rook from E1 to E2,
113,black,45348,0.01143587240949273109,Black queen from B7 to F7,
114,white,21529,0.00578735070303082466,White bishop from D2 to C3,
115,black,16564,0.00417847093194723129,Black queen from F7 to E6,
116,white,37069,0.00907419063150882721,White rook from E2 to F2,
117,black,29726,0.00768689671531319618,Black queen from E6 to D7,
118,white,32267,0.00819481955841183662,White queen from C5 to B6,
119,black,125602,0.02970885718241333961,Black rook from H8 to G8,
120,white,40712,0.01004264503717422485,White rook from F2 to F1,
121,black,103949,0.02495332481339573860,Black queen from D7 to D3,
122,white,123971,0.03028720989823341370,White rook from A2 to G2,
123,black,36824,0.00946990121155977249,Black knight from H6 to F7,
124,white,26537,0.00654017273336648941,White bishop from C3 to A5,
125,black,8550,0.00210521975532174110,Black pawn from H7 to H6,
126,white,7858,0.00191333377733826637,White rook from G2 to H2,
127,black,8874,0.00215269438922405243,Black knight from F8 to H7,
128,white,18117,0.00407890276983380318,White knight from B5 to C3,
129,black,19084,0.00416200980544090271,Black rook from D8 to D7,
130,white,6770,0.00162069499492645264,White bishop from A5 to B4,
131,black,6381,0.00157215213403105736,Black bishop from G7 to F8,
132,white,14944,0.00371915660798549652,White rook from H2 to A2,
133,black,5583,0.00148775475099682808,Black bishop from F8 to G7,
134,white,6372,0.00156369945034384727,White rook from A2 to G2,
135,black,5632,0.00139792868867516518,Black queen from D3 to C4,
136,white,5678,0.00134706357493996620,White king from C1 to B2,
137,black,6188,0.00160530256107449532,Black queen from C4 to D4,
138,white,7991,0.00188977085053920746,White bishop from B4 to C5,
139,black,2270,0.00063412403687834740,Black queen from D4 to C4,
140,white,13368,0.00314336083829402924,White queen from B6 to B8,
141,black,262,0.00007274700328707695,Black rook from D7 to D8,
142,white,15102,0.00383357424288988113,White queen from B8 to A7,
143,black,2994,0.00073849083855748177,Black rook from D8 to C8,
144,white,8908,0.00199995795264840126,White queen from A7 to E7,
145,black,0,0.00000165868550539017,Checkmate,
