turn number,turn,node number,decition time,move,
0,white,400,0.00008219154551625252,White pawn from E2 to E3,
1,black,668,0.00015387684106826782,Black pawn from G7 to G5,
2,white,729,0.00016053905710577965,White knight from G1 to F3,
3,black,1050,0.00024312036111950874,Black pawn from F7 to F6,
4,white,658,0.00015540374442934990,White pawn from H2 to H4,
5,black,4008,0.00092591717839241028,Black bishop from F8 to H6,
6,white,7876,0.00196878891438245773,White pawn from G2 to G4,
7,black,42049,0.01033406145870685577,Black pawn from C7 to C6,
8,white,13058,0.00315873930230736732,White bishop from F1 to G2,
9,black,32395,0.00841362867504358292,Black pawn from E7 to E5,
10,white,48890,0.01300862850621342659,White pawn from H4 to H5,
11,black,2726,0.00073290243744850159,Black pawn from D7 to D6,
12,white,34504,0.00964154070243239403,White knight from F3 to H2,
13,black,1523,0.00039194244891405106,Black king from E8 to F7,
14,white,4384,0.00119335250928997993,White queen from D1 to E2,
15,black,4258,0.00101901823654770851,Black queen from D8 to A5,
16,white,8441,0.00232559675350785255,White queen from E2 to F3,
17,black,64198,0.01717012375593185425,Black knight from B8 to D7,
18,white,8419,0.00223432620987296104,White rook from H1 to G1,
19,black,67470,0.01791912643238902092,Black rook from A8 to B8,
20,white,12453,0.00330838095396757126,White king from E1 to D1,
21,black,13486,0.00340013392269611359,Black king from F7 to E7,
22,white,19125,0.00505647854879498482,White king from D1 to E2,
23,black,17260,0.00437534134835004807,Black queen from A5 to A6,
24,white,195,0.00006895139813423157,White king from E2 to D1,
25,black,10654,0.00271029910072684288,Black king from E7 to E8,
26,white,104548,0.02850439958274364471,White bishop from G2 to F1,
27,black,12096,0.00301664369180798531,Black queen from A6 to B6,
28,white,29641,0.00760919461026787758,White bishop from F1 to D3,
29,black,420099,0.10854938300326466560,Black knight from D7 to C5,
30,white,134294,0.03704547742381691933,White bishop from D3 to E2,
31,black,71975,0.01920010382309556007,Black knight from C5 to D7,
32,white,31197,0.00802733795717358589,White queen from F3 to F5,
33,black,132912,0.03293105121701955795,Black pawn from A7 to A5,
34,white,59494,0.01554958615452051163,White knight from B1 to C3,
35,black,91520,0.02304570982232689857,Black knight from D7 to C5,
36,white,1646139,0.43880276661366224289,White queen from F5 to F3,
37,black,173658,0.04651713930070400238,Black pawn from A5 to A4,
38,white,533394,0.14605147624388337135,White king from D1 to E1,
39,black,1141227,0.30154894897714257240,Black pawn from D6 to D5,
40,white,3546003,0.92402554722502827644,White rook from G1 to G2,
41,black,5282315,1.38732152152806520462,Black king from E8 to E7,
42,white,373607,0.10017749760299921036,White knight from H2 to F1,
43,black,255357,0.06818971689790487289,Black queen from B6 to A5,
44,white,305546,0.07797064445912837982,White knight from F1 to G3,
45,black,387495,0.09993533976376056671,Black king from E7 to D8,
46,white,85821,0.02265595365315675735,White pawn from D2 to D3,
47,black,10008,0.00290522677823901176,Black pawn from B7 to B6,
48,white,148482,0.03808542108163237572,White pawn from E3 to E4,
49,black,9620253,2.46199271781370043755,Black bishop from C8 to B7,
50,white,484122,0.12968725059181451797,White bishop from C1 to D2,
51,black,923924,0.23915099585428833961,Black pawn from D5 to E4,
52,white,361218,0.10049596615135669708,White pawn from D3 to E4,
53,black,52798,0.01461179973557591438,Black knight from C5 to D7,
54,white,3562,0.00097391894087195396,White king from E1 to D1,
55,black,11313,0.00313762482255697250,Black queen from A5 to A8,
56,white,2379,0.00069791544228792191,White queen from F3 to D3,
57,black,6067,0.00172599684447050095,Black rook from B8 to C8,
58,white,2464,0.00073167914524674416,White rook from G2 to G1,
59,black,6821,0.00192844867706298828,Black pawn from C6 to C5,
60,white,60566,0.01546774618327617645,White knight from C3 to B5,
61,black,11933,0.00300496630370616913,Black rook from C8 to C6,
62,white,5042,0.00139531632885336876,White king from D1 to C1,
63,black,3537,0.00091461278498172760,Black king from D8 to C8,
64,white,6235,0.00163857406005263329,White rook from G1 to E1,
65,black,3345,0.00088434619829058647,Black knight from D7 to B8,
66,white,4576,0.00119104515761137009,White pawn from B2 to B4,
67,black,14942,0.00408104946836829185,Black bishop from B7 to A6,
68,white,236261,0.06073869438841938972,White knight from B5 to D6,
69,black,99672,0.02486814744770526886,Black king from C8 to C7,
70,white,902841,0.23633936932310461998,White queen from D3 to D5,
71,black,5910663,1.50879899784922599792,Black knight from B8 to D7,
72,white,18146277,4.50443016598001122475,White pawn from F2 to F3,
73,black,61302960,14.64072122983634471893,Black queen from A8 to F8,
74,white,328136986,77.42646727617830038071,White pawn from B4 to C5,
75,black,7190530,1.70788970636203885078,Black bishop from A6 to E2,
76,white,63236399,14.76075929356738924980,White rook from E1 to E2,
77,black,78798,0.02010495355352759361,Black rook from C6 to C5,
78,white,142029,0.03438070649281144142,White knight from D6 to B5,
79,black,2701,0.00071707135066390038,Black king from C7 to D8,
80,white,20635,0.00503763556480407715,White queen from D5 to A8,
81,black,1447,0.00040250830352306366,Black king from D8 to E7,
82,white,37128,0.00892424536868929863,White queen from A8 to A4,
83,black,4310,0.00115070864558219910,Black queen from F8 to E8,
84,white,9617,0.00268727168440818787,White pawn from A2 to A3,
85,black,6388,0.00175731349736452103,Black queen from E8 to F8,
