turn number,turn,node number,decition time,move,
0,white,400,0.00009808316826820374,White pawn from E2 to E3,
1,black,668,0.00018022162839770317,Black pawn from G7 to G5,
2,white,729,0.00017543928697705269,White knight from G1 to F3,
3,black,1050,0.00022263918071985245,Black pawn from F7 to F6,
4,white,658,0.00013217888772487640,White pawn from H2 to H4,
5,black,4008,0.00092354509979486465,Black bishop from F8 to H6,
6,white,7876,0.00188576010987162590,White pawn from G2 to G4,
7,black,42049,0.01018734090030193329,Black pawn from C7 to C6,
8,white,13058,0.00316021544858813286,White bishop from F1 to G2,
9,black,32395,0.00841909088194370270,Black pawn from E7 to E5,
10,white,48890,0.01303217606619000435,White pawn from H4 to H5,
11,black,2726,0.00073757674545049667,Black pawn from D7 to D6,
12,white,34504,0.00955110881477594376,White knight from F3 to H2,
13,black,1523,0.00039385724812746048,Black king from E8 to F7,
14,white,4384,0.00119167007505893707,White queen from D1 to E2,
15,black,4258,0.00101295625790953636,Black queen from D8 to A5,
16,white,8441,0.00231641530990600586,White queen from E2 to F3,
17,black,64198,0.01722486130893230438,Black knight from B8 to D7,
18,white,8419,0.00223690271377563477,White rook from H1 to G1,
19,black,67470,0.01788907730951905251,Black rook from A8 to B8,
20,white,12453,0.00328200776129961014,White king from E1 to D1,
21,black,13486,0.00339996162801980972,Black king from F7 to E7,
22,white,19125,0.00506494706496596336,White king from D1 to E2,
23,black,17260,0.00434196088463068008,Black queen from A5 to A6,
24,white,195,0.00006950367242097855,White king from E2 to D1,
25,black,10654,0.00270453654229640961,Black king from E7 to E8,
26,white,104548,0.02851858548820018768,White bishop from G2 to F1,
27,black,12096,0.00306033669039607048,Black queen from A6 to B6,
28,white,29641,0.00755421165376901627,White bishop from F1 to D3,
29,black,420099,0.10846759146079421043,Black knight from D7 to C5,
30,white,134294,0.03702554851770401001,White bishop from D3 to E2,
31,black,71975,0.01914863288402557373,Black knight from C5 to D7,
32,white,31197,0.00805932329967617989,White queen from F3 to F5,
33,black,132912,0.03299309127032756805,Black pawn from A7 to A5,
34,white,59494,0.01555984094738960266,White knight from B1 to C3,
35,black,91520,0.02303283428773283958,Black knight from D7 to C5,
36,white,1646139,0.43882732046768069267,White queen from F5 to F3,
37,black,173658,0.04649297613650560379,Black pawn from A5 to A4,
38,white,533394,0.14618995087221264839,White king from D1 to E1,
39,black,1141227,0.30154015030711889267,Black pawn from D6 to D5,
40,white,3546003,0.92377474624663591385,White rook from G1 to G2,
41,black,5282315,1.38627767749130725861,Black king from E8 to E7,
42,white,373607,0.10014041047543287277,White knight from H2 to F1,
43,black,255357,0.06840989831835031509,Black queen from B6 to A5,
44,white,305546,0.07791134202852845192,White knight from F1 to G3,
45,black,387495,0.10028969496488571167,Black king from E7 to D8,
46,white,85821,0.02266042726114392281,White pawn from D2 to D3,
47,black,10008,0.00290406029671430588,Black pawn from B7 to B6,
48,white,148482,0.03804875258356332779,White pawn from E3 to E4,
49,black,9620253,2.46107813343405723572,Black bishop from C8 to B7,
50,white,484122,0.12968182330951094627,White bishop from C1 to D2,
51,black,923924,0.23901156149804592133,Black pawn from D5 to E4,
52,white,361218,0.10041973972693085670,White pawn from D3 to E4,
53,black,52798,0.01460985699668526649,Black knight from C5 to D7,
54,white,3562,0.00097500998526811600,White king from E1 to D1,
55,black,11313,0.00314220925793051720,Black queen from A5 to A8,
56,white,2379,0.00070298369973897934,White queen from F3 to D3,
57,black,6067,0.00171811692416667938,Black rook from B8 to C8,
58,white,2464,0.00073109054937958717,White rook from G2 to G1,
59,black,6821,0.00189864449203014374,Black pawn from C6 to C5,
60,white,60566,0.01541322143748402596,White knight from C3 to B5,
61,black,11933,0.00301002105697989464,Black rook from C8 to C6,
62,white,5042,0.00136410538107156754,White king from D1 to C1,
63,black,3537,0.00089234020560979843,Black king from D8 to C8,
64,white,6235,0.00160933379083871841,White rook from G1 to E1,
65,black,3345,0.00088320858776569366,Black knight from D7 to B8,
66,white,4576,0.00119068333879113197,White pawn from B2 to B4,
67,black,14942,0.00401465175673365593,Black bishop from B7 to A6,
68,white,236261,0.06069940142333507538,White knight from B5 to D6,
69,black,99672,0.02486521704122424126,Black king from C8 to C7,
70,white,902841,0.23631380684673786163,White queen from D3 to D5,
71,black,5910663,1.50885853637009859085,Black knight from B8 to D7,
72,white,18146277,4.50542692840099334717,White pawn from F2 to F3,
73,black,61302960,14.64273901889100670815,Black queen from A8 to F8,
74,white,328136986,77.43005339335650205612,White pawn from B4 to C5,
75,black,7190530,1.70791552634909749031,Black bishop from A6 to E2,
76,white,63236399,14.75940223690122365952,White rook from E1 to E2,
77,black,78798,0.01994223566725850105,Black rook from C6 to C5,
78,white,142029,0.03444250952452421188,White knight from D6 to B5,
79,black,2701,0.00071610091254115105,Black king from C7 to D8,
80,white,20635,0.00498642399907112122,White queen from D5 to A8,
81,black,1447,0.00040551647543907166,Black king from D8 to E7,
82,white,37128,0.00892879767343401909,White queen from A8 to A4,
83,black,4310,0.00115377921611070633,Black queen from F8 to E8,
84,white,9617,0.00268454803153872490,White pawn from A2 to A3,
85,black,6388,0.00172743480652570724,Black queen from E8 to F8,
86,white,3838,0.00101691810414195061,White rook from A1 to A2,
87,black,4337,0.00119573576375842094,Black queen from F8 to B8,
88,white,5548,0.00144038209691643715,White rook from A2 to A1,
89,black,5506,0.00143779395148158073,Black knight from D7 to F8,
90,white,4017,0.00102742435410618782,White rook from E2 to E1,
91,black,5386,0.00139567488804459572,Black queen from B8 to E8,
92,white,8742,0.00233703851699829102,White rook from A1 to B1,
93,black,6177,0.00182850100100040436,Black queen from E8 to C8,
94,white,7135,0.00207897322252392769,White king from C1 to D1,
95,black,6665,0.00184400007128715515,Black queen from C8 to B8,
96,white,7351,0.00184153579175472260,White pawn from C2 to C4,
97,black,7116,0.00188588676974177361,Black rook from C5 to C8,
98,white,9393,0.00240615848451852798,White queen from A4 to C2,
99,black,3175,0.00082806032150983810,Black bishop from H6 to G7,
100,white,5689,0.00144096603617072105,White queen from C2 to C3,
101,black,3263,0.00085448520258069038,Black queen from B8 to A8,
102,white,13214,0.00374556612223386765,White rook from B1 to A1,
103,black,4367,0.00121014751493930817,Black rook from C8 to D8,
104,white,4125,0.00115655036643147469,White king from D1 to C1,
105,black,4669,0.00127059873193502426,Black king from E7 to E8,
106,white,8094,0.00219800090417265892,White pawn from C4 to C5,
107,black,13874,0.00369463907554745674,Black pawn from B6 to C5,
108,white,10846,0.00292917806655168533,White queen from C3 to C5,
109,black,6654,0.00174866849556565285,Black knight from G8 to H6,
110,white,23768,0.00651645520702004433,White rook from A1 to A2,
111,black,16521,0.00427569635212421417,Black queen from A8 to B7,
112,white,28662,0.00739389052614569664,White rook from E1 to E2,
113,black,45348,0.01166693726554512978,Black queen from B7 to F7,
114,white,21529,0.00583040993660688400,White bishop from D2 to C3,
115,black,16564,0.00423105480149388313,Black queen from F7 to E6,
116,white,37069,0.00912054907530546188,White rook from E2 to F2,
117,black,29726,0.00764920795336365700,Black queen from E6 to D7,
118,white,32267,0.00820720801129937172,White queen from C5 to B6,
119,black,125602,0.02973819151520729065,Black rook from H8 to G8,
120,white,40712,0.01002734294161200523,White rook from F2 to F1,
121,black,103949,0.02495981892570853233,Black queen from D7 to D3,
122,white,123971,0.03029816225171089172,White rook from A2 to G2,
123,black,36824,0.00947361905127763748,Black knight from H6 to F7,
124,white,26537,0.00654389662668108940,White bishop from C3 to A5,
125,black,8550,0.00210471265017986298,Black pawn from H7 to H6,
126,white,7858,0.00191300921142101288,White rook from G2 to H2,
127,black,8874,0.00219543138518929482,Black knight from F8 to H7,
128,white,18117,0.00408891728147864342,White knight from B5 to C3,
129,black,19084,0.00416764430701732635,Black rook from D8 to D7,
130,white,6770,0.00161751359701156616,White bishop from A5 to B4,
131,black,6381,0.00157032161951065063,Black bishop from G7 to F8,
132,white,14944,0.00370625592768192291,White rook from H2 to A2,
133,black,5583,0.00148648396134376526,Black bishop from F8 to G7,
134,white,6372,0.00157041335478425026,White rook from A2 to G2,
135,black,5632,0.00139729445800185204,Black queen from D3 to C4,
136,white,5678,0.00133955245837569237,White king from C1 to B2,
137,black,6188,0.00156759098172187805,Black queen from C4 to D4,
138,white,7991,0.00190977472811937332,White bishop from B4 to C5,
139,black,2270,0.00063427630811929703,Black queen from D4 to C4,
140,white,13368,0.00314663257449865341,White queen from B6 to B8,
141,black,262,0.00007259566336870193,Black rook from D7 to D8,
142,white,15102,0.00383804785087704659,White queen from B8 to A7,
143,black,2994,0.00076865730807185173,Black rook from D8 to C8,
144,white,8908,0.00203028274700045586,White queen from A7 to E7,
145,black,0,0.00000169267877936363,Checkmate,
